iso,country,EPI.new,HLT.new,AIR.new,WMG.new,region,GDP,Secondary_enrollment,Employment_rate,Unemployment,Urban Population
DEU,Germany,69.93,80.67,74.41,100.0,Global West,56103.7323182554,100.603057861328,58.849,3.4,82.0211432579125
GHA,Ghana,28.6,25.38,14.57,81.82,Sub-Saharan Africa,2419.2518672482,,57.391,2.82,58.3654868038581
GRC,Greece,66.03,75.16,68.9,98.7,Eastern Europe,24626.1481858973,105.191741943359,47.089,10.02,78.9967856500534
GRD,Grenada,35.67,49.57,41.55,98.5,Latin America & Caribbean,11528.9220811928,,,,36.5628000454229
GTM,Guatemala,31.49,28.43,23.01,41.9,Latin America & Caribbean,6150.89465281457,47.3762534803949,58.144,2.613,55.9547027274763
GIN,Guinea,30.37,22.77,21.37,5.0,Sub-Saharan Africa,1694.95375862185,,50.083,5.132,38.0713036688655
GNB,Guinea-Bissau,27.95,18.94,18.0,12.84,Sub-Saharan Africa,998.376093392688,,63.037,2.647,46.113204421822
GUY,Guyana,30.32,35.67,30.48,55.0,Latin America & Caribbean,29675.2501582835,84.4850463867188,48.591,11.874,26.477717988557
HTI,Haiti,31.97,21.76,25.49,0.0,Latin America & Caribbean,2060.35591768638,,54.623,14.609,55.0372652481002
HND,Honduras,37.37,29.79,25.71,22.31,Latin America & Caribbean,3415.96027916712,54.5012702941895,53.815,4.91,58.7850728104829
HUN,Hungary,54.78,50.5,43.25,97.18,Eastern Europe,23305.4482514359,105.419059753418,57.931,4.5,70.491825943218
ISL,Iceland,58.37,93.46,97.04,71.81,Global West,85863.1479330343,108.911361694336,72.448,3.6,94.1819039916522
IND,India,22.46,15.13,7.89,18.4,Southern Asia,2591.9916607122,78.8639591218839,53.317,4.173,35.3788972368389
IDN,Indonesia,26.24,26.69,20.62,50.45,Asia-Pacific,4925.43644992666,96.0002120295081,65.685,3.301,58.7509635387997
IRN,Iran,38.42,44.13,41.59,34.0,Greater Middle East,5190.16959024821,85.1469802856445,37.905,8.146,77.0201263427734
IRQ,Iraq,26.55,33.73,27.77,58.72,Greater Middle East,6073.61032342708,,35.201,15.293,69.8861494108913
IRL,Ireland,62.01,89.23,88.45,98.73,Global West,112894.953240805,,62.218,4.3,64.3470379255585
ISR,Israel,51.69,77.08,67.7,100.0,Greater Middle East,54216.5218142787,99.3012008666992,63.14,3.595,91.536188843818
ITA,Italy,61.56,78.04,68.04,91.44,Global West,40429.6224047352,100.678756713867,46.365,6.5,69.6047535143071
JAM,Jamaica,44.08,39.99,33.91,0.0,Latin America & Caribbean,7753.8119527678,85.4353132628153,67.255,3.151,58.9301585439922
JPN,Japan,63.15,81.54,75.73,95.71,Asia-Pacific,33797.1014287876,101.537071228027,61.717,2.5,92.1901718034531
JOR,Jordan,46.72,57.65,51.23,55.0,Greater Middle East,5073.92103605892,91.9696843781763,33.328,16.693,92.9501393764286
KAZ,Kazakhstan,41.26,45.21,36.26,79.74,Former Soviet States,14154.6324958076,95.2393054334066,67.176,4.833,62.072531584162
KEN,Kenya,36.1,39.85,34.27,68.24,Sub-Saharan Africa,2133.46193404026,84.3083880306996,63.719,5.487,31.8937831721599
KIR,Kiribati,36.26,49.03,54.83,53.07,Asia-Pacific,2550.98377226188,94.7441990494828,,,62.4620431275642
KWT,Kuwait,39.19,54.49,49.53,100.0,Greater Middle East,32855.7209688827,,71.977,2.151,100.0
